<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.IBM,1,20200714,093100,118.6200000,119.4400000,118.6200000,119.1100000,1495
US1.IBM,1,20200714,093200,119.1100000,119.1100000,118.9300000,118.9300000,800
US1.IBM,1,20200714,093300,118.8800000,119.0900000,118.8800000,119.0900000,305
US1.IBM,1,20200714,093400,118.8300000,118.8400000,118.7500000,118.7500000,700
US1.IBM,1,20200714,093500,118.7000000,118.7000000,118.7000000,118.7000000,100
US1.IBM,1,20200714,093600,118.5800000,118.5800000,118.5800000,118.5800000,100
US1.IBM,1,20200714,093700,118.4000000,118.4000000,118.4000000,118.4000000,322
US1.IBM,1,20200714,093800,118.2200000,118.2800000,117.9600000,118.0300000,1515
US1.IBM,1,20200714,093900,118.0500000,118.0500000,118.0400000,118.0400000,200
US1.IBM,1,20200714,094000,118.0300000,118.5500000,118.0300000,118.5400000,1527
US1.IBM,1,20200714,094100,118.4400000,118.4400000,118.4100000,118.4100000,200
US1.IBM,1,20200714,094200,118.4800000,118.4800000,118.4800000,118.4800000,800
US1.IBM,1,20200714,094400,118.6200000,118.6700000,118.6200000,118.6700000,1000
US1.IBM,1,20200714,094500,118.4500000,118.6300000,118.4500000,118.6300000,876
US1.IBM,1,20200714,094600,118.5700000,118.6800000,118.5700000,118.6700000,900
US1.IBM,1,20200714,094700,118.4900000,118.4900000,118.4900000,118.4900000,200
US1.IBM,1,20200714,094900,118.4400000,118.6600000,118.4400000,118.6600000,300
US1.IBM,1,20200714,095000,118.5900000,118.6500000,118.4000000,118.4500000,1212
US1.IBM,1,20200714,095100,118.4400000,118.4400000,118.2600000,118.2600000,1110
US1.IBM,1,20200714,095200,118.1000000,118.1400000,118.1000000,118.1400000,300
US1.IBM,1,20200714,095300,118.2400000,118.4500000,118.2300000,118.3000000,1000
US1.IBM,1,20200714,095400,118.3400000,118.3400000,118.2100000,118.2800000,1899
US1.IBM,1,20200714,095500,118.3700000,118.4600000,118.3300000,118.4400000,800
US1.IBM,1,20200714,095600,118.2900000,118.5350000,118.1400000,118.3400000,3658
US1.IBM,1,20200714,095700,118.3500000,118.3500000,117.9400000,118.2500000,3747
US1.IBM,1,20200714,095800,118.2100000,118.2600000,118.2000000,118.2000000,400
US1.IBM,1,20200714,095900,118.3700000,118.5000000,118.3700000,118.3900000,1100
